Name,WeightClassKg,BodyweightKg,Division,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,Sex,Equipment,meetid,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName,Age,Team,BirthYear,BirthDate,State,Country,IPFGL
Louise Sutton,57,56.65,M2,77.5,85.0,90.0,90.0,50.0,52.5,-55.0,52.5,105.0,115.0,120.0,120.0,262.5,1,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,61.859832703910335
Natalie Bartolo,57,54.5,Open,87.5,92.5,-97.5,92.5,47.5,52.5,-57.5,52.5,100.0,105.0,107.5,107.5,252.5,2,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,61.323545555905504
Cass Pickard,63,63.0,M1,135.0,142.5,-150.0,142.5,70.0,-75.0,-75.0,70.0,175.0,182.5,192.5,192.5,405.0,1,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,88.60718203099235
Amy Evans #1,63,61.85,Open,100.0,105.0,110.0,110.0,60.0,-65.0,-65.0,60.0,105.0,110.0,-115.0,110.0,280.0,2,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,62.00088896238348
Rachel Kerrigan,63,59.8,M1,-92.5,-92.5,92.5,92.5,42.5,47.5,-50.0,47.5,-110.0,110.0,112.5,112.5,252.5,3,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,57.20791757503541
Melanie Green,72,70.0,Open,117.5,-127.5,132.5,132.5,67.5,-70.0,-70.0,67.5,170.0,180.0,-185.0,180.0,380.0,1,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,78.10588234783368
Kirsten Ramage,72,70.95,M1,122.5,130.0,-140.0,130.0,70.0,75.0,77.5,77.5,145.0,152.5,157.5,157.5,365.0,2,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,74.48179165353343
Angela Hudson,72,69.75,M1,110.0,115.0,-120.0,115.0,75.0,-80.0,82.5,82.5,130.0,135.0,140.0,140.0,337.5,3,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,69.50565137116413
Tara Clark,72,67.0,Open,75.0,77.5,82.5,82.5,45.0,47.5,52.5,52.5,90.0,95.0,102.5,102.5,237.5,4,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,50.03536985695206
Jess Laughlan,84+,100.6,Open,60.0,65.0,70.0,70.0,42.5,45.0,-50.0,45.0,90.0,97.5,105.0,105.0,220.0,1,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,39.17310369304418
Tom Evill,83,82.35,Open,200.0,225.0,230.0,230.0,115.0,122.5,127.5,127.5,265.0,285.0,-290.0,285.0,642.5,1,SBD,M,Single-ply,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,74.536568850318
Mark Roskell,93,92.55,M1,190.0,210.0,220.0,220.0,165.0,175.0,-180.0,175.0,220.0,240.0,-250.0,240.0,635.0,1,SBD,M,Single-ply,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,69.03885965159175
Joel Hudson,93,85.8,Open,180.0,192.5,-200.0,192.5,100.0,107.5,-112.5,107.5,190.0,202.5,210.0,210.0,510.0,1,SBD,M,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,69.42965225306345
Laurence Burdekin,105,104.7,Open,-220.0,220.0,-225.0,220.0,160.0,-167.5,-167.5,160.0,-250.0,-250.0,-250.0,0.0,0.0,DQ,SBD,M,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,0.0
Richard Hozjan,120,115.3,Open,257.5,270.0,282.5,282.5,207.5,212.5,217.5,217.5,300.0,-307.5,-307.5,300.0,800.0,1,SBD,M,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,94.64912178680756
Scott Hall #1,120+,150.6,M1,330.0,350.0,-357.5,350.0,187.5,195.0,-202.5,195.0,310.0,330.0,-340.0,330.0,875.0,1,SBD,M,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,92.72796245519936
Adam Huard,120+,131.9,Open,220.0,240.0,250.0,250.0,80.0,100.0,120.0,120.0,250.0,265.0,277.5,277.5,647.5,2,SBD,M,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,72.30713783367653
Lee Pickles,52,49.25,M2,0.0,0.0,0.0,0.0,35.0,40.0,-42.5,40.0,0.0,0.0,0.0,0.0,40.0,1,B,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,40.32254909733497
Jaimie Clarke,59,57.75,Open,0.0,0.0,0.0,0.0,102.5,-110.0,-110.0,102.5,0.0,0.0,0.0,0.0,102.5,1,B,M,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,62.59265552241256
Evan McCloy,93,91.5,Open,0.0,0.0,0.0,0.0,210.0,220.0,230.0,230.0,0.0,0.0,0.0,0.0,230.0,1,B,M,Single-ply,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,76.81038933563761
Murray Wilkinson,120+,130.25,M2,0.0,0.0,0.0,0.0,115.0,125.0,135.0,135.0,0.0,0.0,0.0,0.0,135.0,1,B,M,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,55.040544453829966
Lola Usback,47,46.65,Juniors,60.0,65.0,70.0,70.0,45.0,47.5,50.0,50.0,97.5,102.5,110.0,110.0,230.0,1,SBD,F,Raw,1802,APU,2018-03-17,Australia,NSW,Campbelltown,Adonis Campbelltown Open,0.0,0,0.0,0,0,0,64.23302787465425
Jackie Ngo,52,51.65,Open,87.5,95.0,100.0,100.0,37.5,42.5,47.5,47.5,95.0,105.0,120.0,120.0,267.5,1,SBD,F,Raw,1802,APU,2018-03-17,Australia,NSW,Campbelltown,Adonis Campbelltown Open,0.0,0,0.0,0,0,0,67.94012252747414
Kim Stevenson,63,62.7,Open,125.0,-132.5,132.5,132.5,102.5,-107.5,-107.5,102.5,125.0,-132.5,-135.0,125.0,360.0,1,SBD,F,Raw,1802,APU,2018-03-17,Australia,NSW,Campbelltown,Adonis Campbelltown Open,0.0,0,0.0,0,0,0,79.0052755327614
Mathew Nguyen,66,65.3,Open,155.0,165.0,-172.5,165.0,97.5,102.5,105.0,105.0,200.0,212.5,-220.0,212.5,482.5,1,SBD,M,Raw,1802,APU,2018-03-17,Australia,NSW,Campbelltown,Adonis Campbelltown Open,0.0,0,0.0,0,0,0,75.63985538225482
Albon Averion,74,69.2,Open,145.0,155.0,160.0,160.0,-80.0,80.0,-90.0,80.0,210.0,220.0,-230.0,220.0,460.0,3,SBD,M,Raw,1802,APU,2018-03-17,Australia,NSW,Campbelltown,Adonis Campbelltown Open,0.0,0,0.0,0,0,0,69.93924339592044
Victor Ramirez,74,71.95,Open,-165.0,170.0,175.0,175.0,120.0,127.5,132.5,132.5,185.0,195.0,202.5,202.5,510.0,2,SBD,M,Raw,1802,APU,2018-03-17,Australia,NSW,Campbelltown,Adonis Campbelltown Open,0.0,0,0.0,0,0,0,75.97547942125833
Dean McGarry,74,72.5,Open,160.0,180.0,-190.0,180.0,-110.0,110.0,-115.0,110.0,230.0,-235.0,0.0,230.0,520.0,1,SBD,M,Raw,1802,APU,2018-03-17,Australia,NSW,Campbelltown,Adonis Campbelltown Open,0.0,0,0.0,0,0,0,77.15827831969175
Brendan Mackett,83,81.9,Open,165.0,175.0,180.0,180.0,127.5,130.0,135.0,135.0,175.0,187.5,-192.5,187.5,502.5,3,SBD,M,Raw,1802,APU,2018-03-17,Australia,NSW,Campbelltown,Adonis Campbelltown Open,0.0,0,0.0,0,0,0,70.0305238654443
